,A,FhlA,RpoN
ackA_pta__del_pta__3,-0.1398469257,0.7302640907,0.3199969646
ackA_pta__wt__1,-0.2095235316,-0.0370739765,0.1637336314
ackA_pta__wt__2,-0.0462234896,-0.014880629900000001,-0.0974010988
ackA_pta__wt__3,0.2557470213,0.0519546065,-0.06633253260000001
anticancer__5fu__1,0.675801677,-0.1952526932,-0.5603580095
anticancer__5fu__2,0.7754732816000001,0.1801794851,-0.5673063791
anticancer__cap__1,0.6598203731000001,1.2859716517,0.1286979483
anticancer__cap__2,0.3016527739,1.2825729035,0.12319856700000001
anticancer__cap__3,1.2318022325,1.3221765492,0.1668869606
anticancer__wt__1,0.45315130540000004,-0.08843786070000001,-0.15259010380000002
anticancer__wt__2,-0.1450260099,-0.0470850551,0.0602725224
anticancer__wt__3,-0.3081252955,0.1355229159,0.0923175814
anticancer__5fu__3,1.5998525971,-0.6348964180000001,-0.6096590518
bio_pln__aero_pln__1,0.7729618163,0.0984031135,0.040384679
bio_pln__aero_pln__2,-0.7729618163,-0.0984031135,-0.040384679
bio_pln__anaero_pln__1,7.6277859078,0.6292558951,-0.1000048731
bio_pln__anaero_pln__2,7.2168748132000005,0.1298136559,-0.0182377687
biocide__bzcl_12h__1,0.28661466150000003,0.3379632811,-0.28891315030000003
biocide__bzcl_12h__2,-0.3156838381,0.5624682040000001,0.039433998000000005
biocide__bzcl_12h__3,-0.0488017892,0.3617491243,-0.26352981940000003
biocide__etoh_12h__1,-0.9214588574,0.7548901317000001,0.2680230091
biocide__etoh_12h__2,-0.5400780511000001,0.4221056185,0.2771931545
biocide__etoh_12h__3,0.0707392752,0.7397725003000001,0.2675030988
biocide__gluald_12h__1,0.2582103868,1.0018518317,0.38510948500000003
biocide__gluald_12h__2,0.5312742029,0.9505572682000001,0.4022591183
biocide__gluald_12h__3,0.22145239760000002,1.1330531339,0.31910439420000003
biocide__h2o2_12h__1,0.2471088957,0.612588573,0.2898968666
biocide__h2o2_12h__2,0.7619055691000001,0.5773781103,0.1480809059
biocide__h2o2_12h__3,0.0055406956,0.7394189659,0.043063725000000004
biocide__2ppoh_12h__1,0.1556776461,1.456011376,0.2214949126
biocide__2ppoh_12h__2,0.4475259894,1.4069270258,0.2375757161
